id;isbn;name;publish_year;copies;cover;cover_content_type
1;ohmXX;Thallium Program Grocery;North;4583;../fake-data/blob/hipster.png;image/png
2;WestX;payment withdrawal Wooden;access Nitrogen;350;../fake-data/blob/hipster.png;image/png
3;Buckinghamshi;payment Gender Ergonomic;katal Beauty;3844;../fake-data/blob/hipster.png;image/png
4;dimly Gorgeou;Southeast plum interactive;structure solid Jaguar;9;../fake-data/blob/hipster.png;image/png
5;azure Uzbekis;Identity Volkswagen North;Wyoming;9912;../fake-data/blob/hipster.png;image/png
6;capacitor inp;Data;function along who;23158;../fake-data/blob/hipster.png;image/png
7;Hatchback;guerrilla odio;Avon Configuration digital;10781;../fake-data/blob/hipster.png;image/png
8;Engineer digi;Northwest Northeast Ford;Rubber Northeast;7902;../fake-data/blob/hipster.png;image/png
9;Grocery pin;Cargo robust;Bicycle Rutherfordium;4317;../fake-data/blob/hipster.png;image/png
10;matrix 24/7;Steel;neural amused;28557;../fake-data/blob/hipster.png;image/png
